CHROMATOGRAM,
GC27_1.raw,
Data points: 42010,
Time,Intensity
1.455,4450
1.456667,4452
1.458333,4453
1.46,4454
1.461667,4456
1.463333,4458
1.465,4460
1.466667,4462
1.468333,4459
1.47,4457
1.471667,4458
1.473333,4456
1.475,4452
1.476667,4450
1.478333,4449
1.48,4449
1.481667,4448
1.483333,4448
1.485,4449
1.486667,4453
1.488333,4456
1.49,4454
1.491667,4454
1.493333,4454
1.495,4455
1.496667,4455
1.498333,4453
1.5,4450
1.501667,4451
1.503333,4453
1.505,4454
1.506667,4455
1.508333,4457
1.51,4458
1.511667,4460
1.513333,4459
1.515,4456
1.516667,4453
1.518333,4451
1.52,4449
1.521667,4450
1.523333,4450
1.525,4452
1.526667,4454
1.528333,4457
1.53,4456
1.531667,4456
1.533333,4454
1.535,4452
1.536667,4452
1.538333,4452
1.54,4452
1.541667,4452
1.543333,4453
1.545,4454
1.546667,4453
1.548333,4452
1.55,4448
1.551667,4447
1.553333,4449
1.555,4449
1.556667,4450
1.558333,4448
1.56,4449
1.561667,4447
1.563333,4447
1.565,4447
1.566667,4445
1.568333,4446
1.57,4446
1.571667,4447
1.573333,4448
1.575,4448
1.576667,4447
1.578333,4446
1.58,4451
1.581667,4454
1.583333,4457
1.585,4458
1.586667,4457
1.588333,4455
1.59,4452
1.591667,4447
1.593333,4442
1.595,4440
1.596667,4442
1.598333,4446
1.6,4449
1.601667,4451
1.603333,4451
1.605,4451
1.606667,4449
1.608333,4446
1.61,4445
1.611667,4442
1.613333,4440
1.615,4440
1.616667,4441
1.618333,4442
1.62,4443
1.621667,4446
1.623333,4446
1.625,4446
1.626667,4446
1.628333,4446
1.63,4447
1.631667,4449
1.633333,4449
1.635,4448
1.636667,4449
1.638333,4450
1.64,4449
1.641667,4446
1.643333,4444
1.645,4443
1.646667,4444
1.648333,4445
1.65,4444
1.651667,4444
1.653333,4444
1.655,4443
1.656667,4443
1.658333,4444
1.66,4443
1.661667,4445
1.663333,4446
1.665,4447
1.666667,4448
1.668333,4449
1.67,4448
1.671667,4447
1.673333,4450
1.675,4450
1.676667,4451
1.678333,4453
1.68,4453
1.681667,4451
1.683333,4450
1.685,4448
1.686667,4445
1.688333,4445
1.69,4445
1.691667,4445
1.693333,4446
1.695,4446
1.696667,4446
1.698333,4448
1.7,4448
1.701667,4449
1.703333,4447
1.705,4451
1.706667,4452
1.708333,4452
1.71,4451
1.711667,4451
1.713333,4450
1.715,4449
1.716667,4447
1.718333,4446
1.72,4446
1.721667,4450
1.723333,4451
1.725,4452
1.726667,4455
1.728333,4455
1.73,4451
1.731667,4447
1.733333,4441
1.735,4439
1.736667,4438
1.738333,4439
1.74,4438
1.741667,4440
1.743333,4442
1.745,4441
1.746667,4442
1.748333,4441
1.75,4441
1.751667,4443
1.753333,4444
1.755,4445
1.756667,4445
1.758333,4446
1.76,4445
1.761667,4444
1.763333,4445
1.765,4444
1.766667,4446
1.768333,4447
1.77,4450
1.771667,4452
1.773333,4452
1.775,4451
1.776667,4452
1.778333,4453
1.78,4454
1.781667,4454
1.783333,4453
1.785,4454
1.786667,4457
1.788333,4456
1.79,4453
1.791667,4449
1.793333,4448
1.795,4447
1.796667,4445
1.798333,4443
1.8,4445
1.801667,4441
1.803333,4444
1.805,4444
1.806667,4445
1.808333,4447
1.81,4449
1.811667,4449
1.813333,4449
1.815,4448
1.816667,4448
1.818333,4447
1.82,4446
1.821667,4444
1.823333,4443
1.825,4442
1.826667,4443
1.828333,4443
1.83,4442
1.831667,4443
1.833333,4446
1.835,4445
1.836667,4446
1.838333,4447
1.84,4447
1.841667,4446
1.843333,4447
1.845,4446
1.846667,4444
1.848333,4446
1.85,4446
1.851667,4445
1.853333,4446
1.855,4446
1.856667,4445
1.858333,4445
1.86,4443
1.861667,4441
1.863333,4440
1.865,4441
1.866667,4439
1.868333,4438
1.87,4439
1.871667,4441
1.873333,4445
1.875,4447
1.876667,4448
1.878333,4449
